;Access;Project;Surname0;Surname1;Surname2;Surname3;Surname4;Initial0;Initial1;Initial2;Initial3;Initial4;Surnames;Initials;AuthorCount;Media;Title;Edition;Publisher;CityOfPub;Year;URL;Journal;Volume;Issue;Pages;Organisation;DateAccessed;DateWritten;Name_Conf;Place_Conf;Date_Conf;HCitation;HReference;Surname5;Initial5;PDF;Ed_Surname0;Ed_Surname1;Ed_Surname2;Ed_Surname3;Ed_Initial0;Ed_Initial1;Ed_Initial2;Ed_Initial3;Ed_Initial4;Chap_Surname0;Chap_Surname1;Chap_Surname2;Chap_Surname3;Chap_Initial0;Chap_Initial1;Chap_Initial2;Chap_Initial3;Chap_Initial4;Ed_Surname4;Ed_Surname5;Ed_Initial5;Chap_Surname4;Chap_Surname5;Chap_Initial5;Chap_Title;ChapCount;EdCount;Notes;CiteOverride;RefOverride;Used;CommMethod;Receiver;prep
10;;Energy Use;;;;;;;;;;;;;0;data;Dwelling Ages and Prices;;;;2021.0;https://data.cdrc.ac.uk/dataset/dwelling-ages-and-prices;;;;;CDRC;08-12-2024;2021;;;;CDRC (2023);CDRC (2023) Dwelling Ages and Prices. Available at: https://data.cdrc.ac.uk/dataset/dwelling-ages-and-prices (Accessed: 08-12-2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;Not Used;;;
11;;Energy Use;;;;;;;;;;;;;0;data;Household Size;;;;2021.0;https://www.nomisweb.co.uk/datasets/c2021ts017;;;;;Office for National Statistics;09-12-2024;2021;;;;Office for National Statistics (2023);Office for National Statistics (2023) Household Size. Available at: https://www.nomisweb.co.uk/datasets/c2021ts017 (Accessed: 09-12-2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;Used;;;
12;;Energy Use;;;;;;;;;;;;;0;data;Tenure;;;;2021.0;https://www.ons.gov.uk/datasets/TS054/editions/2021/versions/4;;;;;Office for National Statistics;11-12-2024;;;;;Office for National Statistics (2023);Office for National Statistics (2023) Tenure. Available at: https://www.ons.gov.uk/datasets/TS054/editions/2021/versions/4 (Accessed: 11-12-2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;Used;;;
13;;Energy Use;Jones;Fuertes;Lomas;;;R.V.;A.;K.J.;;;;;3;journal;The socio-economic, dwelling and appliance related factors affecting electricity consumption in domestic buildings;;;;2015.0;https://doi.org/10.1016/j.rser.2014.11.084;Renewable and Sustainable Energy Reviews;43.0;2015;901-917;;11-12-2024;;;;;Jones, R.V., Fuertes, A. and Lomas, K.J. (2023);Jones, R.V., Fuertes, A. and Lomas, K.J. (2023) 'The socio-economic, dwelling and appliance related factors affecting electricity consumption in domestic buildings', Renewable and Sustainable Energy Reviews,38(1), pp. 901-917. https://doi.org/10.1016/j.rser.2014.11.084;;;/home/jonathan/Documents/University/Course Notes/Home/GIS/Sheffield/Quantitative_Analysis/Assessment 3/factors affecting elec usage.html;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;Used;;;
14;;Energy Use;Zen;Uddin;Al-Amin;Majid;Almulhim;I.S.;M.S.;A.Q.;M.R.B.;A.I.;;;6;journal;Socioeconomics determinants of household carbon footprint in Iskandar Malaysia;;;;2022.0;https://doi.org/10.1016/j.jclepro.2022.131256;Journal of Cleaner Production;347.0;May 2022;131256;;15-12-2024;;;;;Zen et al. (2023);Zen, I.S. et al. (2023) 'Socioeconomics determinants of household carbon footprint in Iskandar Malaysia', Journal of Cleaner Production,38(1), pp. 131256. https://doi.org/10.1016/j.jclepro.2022.131256;Doberstein;B.;/home/jonathan/Documents/University/Course Notes/Home/GIS/Sheffield/Quantitative_Analysis/Assessment 3/malaysia.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;Used;;;
15;;Energy Use;;;;;;;;;;;;;0;data;Census 2021 Paper Questionnaires;;;;2021.0;https://www.ons.gov.uk/census/censustransformationprogramme/questiondevelopment/census2021paperquestionnaires;;;;;Office for National Statistics;15-12-2024;;;;;Office for National Statistics (2023);Office for National Statistics (2023) Census 2021 Paper Questionnaires. Available at: https://www.ons.gov.uk/census/censustransformationprogramme/questiondevelopment/census2021paperquestionnaires (Accessed: 15-12-2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;Used;;;
16;;Energy Use;;;;;;;;;;;;;0;data;Lower and Middle Super Output Areas electricity consumption;;;;2024.0;https://www.gov.uk/government/statistics/lower-and-middle-super-output-areas-electricity-consumption;;;;;Department of energy Security and Net Zero;15-12-2024;;;;;Department of energy Security and Net Zero (2023);Department of energy Security and Net Zero (2023) Lower and Middle Super Output Areas electricity consumption. Available at: https://www.gov.uk/government/statistics/lower-and-middle-super-output-areas-electricity-consumption (Accessed: 15-12-2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
17;;Energy Use;;;;;;;;;;;;;0;data;Great Britain Land Cover;;;;2023.0;https://digimap.edina.ac.uk/roam/map/environment;;;;;Edina Digimap;27-12-2024;;;;;Edina Digimap (2023);Edina Digimap (2023) Great Britain Land Cover. Available at: https://digimap.edina.ac.uk/roam/map/environment (Accessed: 27-12-2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
18;;Woodpeckers;Wiktander;Olsson;Nilsson;;;U.;O.;S.G.;;;;;3;journal;Seasonal variation in home-range size, and habitat area requirement of the lesser spotted woodpecker (Dendrocopos minor) in southern Sweden;;;;2001.0;https://doi.org/10.1016/S0006-3207(01)00045-3;Biological Conservation;100.0;3;387-395;;29-12-2024;;;;;Wiktander, U., Olsson, O. and Nilsson, S.G. (2023);Wiktander, U., Olsson, O. and Nilsson, S.G. (2023) 'Seasonal variation in home-range size, and habitat area requirement of the lesser spotted woodpecker (Dendrocopos minor) in southern Sweden', Biological Conservation,38(1), pp. 387-395. https://doi.org/10.1016/S0006-3207(01)00045-3;;;/home/jonathan/Documents/University/Course Notes/Home/GIS/Sheffield/Foundations_of_GIS/Technical Report/habitat size.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
19;;Woodpeckers;Olsson;Nillsson;Nillson;Pettesson;Stagen;O.;I.N.;S.G.;B.;A.;;;6;journal;Habitat preferences of the Lesser Spotted Woodpecker Dendrocopus minor;;;;1992.0;https://ornisfennica.journal.fi/article/view/133348;Ornis Fennica;69.0;3;119-125;;29-12-2024;;;;;Olsson et al. (2023);Olsson, O. et al. (2023) 'Habitat preferences of the Lesser Spotted Woodpecker Dendrocopus minor', Ornis Fennica,38(1), pp. 119-125. https://ornisfennica.journal.fi/article/view/133348;Wiktander;U.;/home/jonathan/Documents/University/Course Notes/Home/GIS/Sheffield/Foundations_of_GIS/Technical Report/snag density.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
20;;Woodpeckers;Silva;Pereira;Gusmões;Mended;Valente;C.M.;J.A.C.;J.D.S.P.;B.E.P.;H.;;;5;journal;Birds’ gap-crossing in open matrices depends on landscape structure, tree size, and predation risk;;;;2020.0;https://doi.org/10.1016/j.pecon.2020.02.001;Perspectives in Ecology and Conservation;18.0;2;73-82;;29-12-2024;;;;;Silva et al. (2023);Silva, C.M. et al. (2023) 'Birds’ gap-crossing in open matrices depends on landscape structure, tree size, and predation risk', Perspectives in Ecology and Conservation,38(1), pp. 73-82. https://doi.org/10.1016/j.pecon.2020.02.001;;;/home/jonathan/Documents/University/Course Notes/Home/GIS/Sheffield/Foundations_of_GIS/Technical Report/step distance.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
21;;Woodpeckers;Campedelli;Londi;Cutini;Donati;Florenzano;T.;G.;S.;C.;G.T.;;;5;journal;Impact of noise barriers on birds. A case study along a Tuscany highway;;;;2014.0;https://ciso-coi.it/wp-content/uploads/2014/08/Brevi-note-e-finali.pdf#page=1.29;Avocetta;38.0;2014;37-39;;02-01-2025;;;;;Campedelli et al. (2023);Campedelli, T. et al. (2023) 'Impact of noise barriers on birds. A case study along a Tuscany highway', Avocetta,38(1), pp. 37-39. https://ciso-coi.it/wp-content/uploads/2014/08/Brevi-note-e-finali.pdf#page=1.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
22;;Woodpeckers;;;;;;;;;;;;;0;data;Landsat 8-9;;;;2024.0;https://earthexplorer.usgs.gov;;;;;USGS;02-01-2025;;;;;USGS (2023);USGS (2023) Landsat 8-9. Available at: https://earthexplorer.usgs.gov (Accessed: 02-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
23;;Woodpeckers;;;;;;;;;;;;;0;web;Lesser Spotted Woodpecker;;;;2024.0;https://www.bto.org/understanding-birds/birdfacts/lesser-spotted-woodpecker;;;;;British Trust for Ornithology;02-01-2025;;;;;British Trust for Ornithology (2023);British Trust for Ornithology (2023) Lesser Spotted Woodpecker. Available at: https://www.bto.org/understanding-birds/birdfacts/lesser-spotted-woodpecker (Accessed: 02-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
24;;Woodpeckers;;;;;;;;;;;;;0;web;Lesser Spotted Woodpecker;;;;2025.0;https://www.woodlandtrust.org.uk/trees-woods-and-wildlife/animals/birds/lesser-spotted-woodpecker/;;;;;Woodland Trust;03-01-2025;;;;;Woodland Trust (2023);Woodland Trust (2023) Lesser Spotted Woodpecker. Available at: https://www.woodlandtrust.org.uk/trees-woods-and-wildlife/animals/birds/lesser-spotted-woodpecker/ (Accessed: 03-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
25;;Woodpeckers;Robles;Cuidad;;;;H.;C.;;;;;;2;journal;Influence of Habitat Quality, Population Size, Patch Size, and Connectivity on Patch-Occupancy Dynamics of the Middle Spotted Woodpecker;;;;2012.0;https://doi.org/10.1111/j.1523-1739.2011.01816.x;Conservation Biology;26.0;2;284-293;;03-01-2025;;;;;Robles, H. and Cuidad, C. (2023);Robles, H. and Cuidad, C. (2023) 'Influence of Habitat Quality, Population Size, Patch Size, and Connectivity on Patch-Occupancy Dynamics of the Middle Spotted Woodpecker', Conservation Biology,38(1), pp. 284-293. https://doi.org/10.1111/j.1523-1739.2011.01816.x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
26;;Woodpeckers;Brewster;;;;;P.;;;;;;;1;pers;;;;;2016.0;;;;;;;2016;;;;;Brewster, P. (2023);Brewster, P. (2023) Conversation with Jinxia Wang, 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Conversation;Jinxia Wang;with
27;;Woodpeckers;;;;;;;;;;;;;0;report;Draft Noise Action Plan 2024-2028;;;;2024.0;https://www.manchesterairport.co.uk/community/living-near-the-airport/noise-action-plan/;;;;80;Manchester Airport;04-01-2025;;;;;Manchester Airport (2023);Manchester Airport (2023) Draft Noise Action Plan 2024-2028. pp. 80. Available at: https://www.manchesterairport.co.uk/community/living-near-the-airport/noise-action-plan/ (Accessed: 04-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
28;;Woodpeckers;;;;;;;;;;;;;0;data;Lesser Spotted Woodpecker Occurance Records;;;;2023.0;https://species.nbnatlas.org/species/NHMSYS0021271561#records;;;;;NBN Atlas;04-01-2025;;;;;NBN Atlas (2023);NBN Atlas (2023) Lesser Spotted Woodpecker Occurance Records. Available at: https://species.nbnatlas.org/species/NHMSYS0021271561#records (Accessed: 04-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
29;;Woodpeckers;;;;;;;;;;;;;0;data;Road Noise - All Metrics - England Round 4;;;;2024.0;https://www.data.gov.uk/dataset/38b1444f-47a0-42ca-a358-0d145fcf7d5c/road-noise-all-metrics-england-round-4;;;;;DEFRA;07-01-2025;;;;;DEFRA (2023);DEFRA (2023) Road Noise - All Metrics - England Round 4. Available at: https://www.data.gov.uk/dataset/38b1444f-47a0-42ca-a358-0d145fcf7d5c/road-noise-all-metrics-england-round-4 (Accessed: 07-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
30;;Woodpeckers;;;;;;;;;;;;;0;web;Cotterill Clough;;;;2024.0;https://www.cheshirewildlifetrust.org.uk/nature-reserves/cotterill-clough;;;;;Cheshire Wildlife Trust;11-01-2025;;;;;Cheshire Wildlife Trust (2023);Cheshire Wildlife Trust (2023) Cotterill Clough. Available at: https://www.cheshirewildlifetrust.org.uk/nature-reserves/cotterill-clough (Accessed: 11-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
31;;Woodpeckers;;;;;;;;;;;;;0;custom;;;;;;;;;;;;;;;;;City of Trees (2024);Cite of Trees (2024) Wythenshawe Data Pack. Accessed 12-01-25.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;City of Trees (2024);Cite of Trees (2024) 'Wythenshawe Data Pack'. Accessed 12-01-25.;;;;
32;;Woodpeckers;;;;;;;;;;;;;0;web;Sunbank Wood;;;;2024.0;https://wilmslowwalks.com/sunbankwood.html;;;;;Wilmslow Walks;12-01-2025;;;;;Wilmslow Walks (2023);Wilmslow Walks (2023) Sunbank Wood. Available at: https://wilmslowwalks.com/sunbankwood.html (Accessed: 12-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
33;;Woodpeckers;Slabbekoorn;Boer-Visser;;;;H.;A.;;;;;;2;journal;Cities Change the Songs of Birds;;;;2006.0;https://doi.org/10.1016/j.cub.2006.10.008;Current Biology;16.0;23;2326-2331;;12-01-2025;;;;;Slabbekoorn, H. and Boer-Visser, A. (2023);Slabbekoorn, H. and Boer-Visser, A. (2023) 'Cities Change the Songs of Birds', Current Biology,38(1), pp. 2326-2331. https://doi.org/10.1016/j.cub.2006.10.008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
34;;Eurovision;Ginsburgh;Noury;;;;V.;A.G.;;;;;;2;journal;The Eurovision Song Contest. Is voting political or cultural?;;;;2008.0;https://doi.org/10.1016/j.ejpoleco.2007.05.004;European Journal of Political Economy;24.0;1;41-52;;16-01-2025;;;;;Ginsburgh, V. and Noury, A.G. (2023);Ginsburgh, V. and Noury, A.G. (2023) 'The Eurovision Song Contest. Is voting political or cultural?', European Journal of Political Economy,38(1), pp. 41-52. https://doi.org/10.1016/j.ejpoleco.2007.05.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
35;;Eurovision;;;;;;;;;;;;;0;data;Seizures of drugs in England and Wales, financial year ending 2024;;;;2024.0;https://www.gov.uk/government/statistics/seizures-of-drugs-in-england-and-wales-financial-year-ending-2024;;;;;Home Office;18-01-2025;;;;;Home Office (2023);Home Office (2023) Seizures of drugs in England and Wales, financial year ending 2024. Available at: https://www.gov.uk/government/statistics/seizures-of-drugs-in-england-and-wales-financial-year-ending-2024 (Accessed: 18-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
36;;Eurovision;;;;;;;;;;;;;0;data;Police Force Areas;;;;2023.0;https://geoportal.statistics.gov.uk/datasets/06113f214e2348cab337c3437b5e38c9_0/explore;;;;;Office for National Statistics;18-01-2025;;;;;Office for National Statistics (2023);Office for National Statistics (2023) Police Force Areas. Available at: https://geoportal.statistics.gov.uk/datasets/06113f214e2348cab337c3437b5e38c9_0/explore (Accessed: 18-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
37;;Eurovision;;;;;;;;;;;;;0;web;At least half of Gaza's buildings damaged or destroyed, new analysis shows;;;;2024.0;https://www.bbc.co.uk/news/world-middle-east-68006607;;;;;BBC News;19-01-2025;;;;;BBC News (2023);BBC News (2023) At least half of Gazas buildings damaged or destroyed, new analysis shows. Available at: https://www.bbc.co.uk/news/world-middle-east-68006607 (Accessed: 19-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
38;;Eurovision;Holail;Saleh;Xiao;Xia;Shao;S.;T.;J.;G.;Z.;;;6;journal;Time-series satellite remote sensing reveals gradually increasing war damage in the Gaza Strip;;;;2024.0;https://doi.org/10.1093/nsr/nwae304;National Science Review;11.0;9;Unknown;;19-01-2025;;;;;Holail et al. (2023);Holail, S. et al. (2023) 'Time-series satellite remote sensing reveals gradually increasing war damage in the Gaza Strip', National Science Review,38(1), pp. Unknown. https://doi.org/10.1093/nsr/nwae304;Wang;M.;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
39;;Eurovision;Abramowitz;;;;;M.Z.;;;;;;;1;journal;GHB and date rape;;;;2018.0;https://doi.org/10.1192/bjp.185.2.176;The British Journal of Psychiatry;185.0;2;176-177;;20-01-2025;;;;;Abramowitz (2023);Abramowitz, M.Z. (2023) 'GHB and date rape', The British Journal of Psychiatry,38(1), pp. 176-177. https://doi.org/10.1192/bjp.185.2.176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
40;;Eurovision;;;;;;;;;;;;;0;report;Drink Spiking Report;;;;2024.0;https://www.drinkaware.co.uk/research/research-and-evaluation-reports/drink-spiking-report/;;;;3;Drinkaware;20-01-2025;;;;;Drinkaware (2023);Drinkaware (2023) Drink Spiking Report. pp. 3. Available at: https://www.drinkaware.co.uk/research/research-and-evaluation-reports/drink-spiking-report/ (Accessed: 20-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
41;;Eurovision;;;;;;;;;;;;;0;web;Eurovision Song Contest 2024;;;;2024.0;https://en.wikipedia.org/wiki/Eurovision_Song_Contest_2024#Final_2;;;;;Wikipedia;20-01-2025;;;;;Wikipedia (2023);Wikipedia (2023) Eurovision Song Contest 2024. Available at: https://en.wikipedia.org/wiki/Eurovision_Song_Contest_2024#Final_2 (Accessed: 20-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
42;;Eurovision;Djennad;Harris;Presanis;Jahr;Charlett;A.;R.J.;A.M.;S.;A.;;;5;journal;Estimating prevalence of opiate and crack cocaine use and injecting in England using mixed-effects capture–recapture models;;;;2024.0;https://doi.org/10.1093/jrsssa/qnae114;Journal of the Royal Statistical Society Series A: Statistics in Society;118.0;1;68-83;;20-01-2025;;;;;Djennad et al. (2023);Djennad, A. et al. (2023) 'Estimating prevalence of opiate and crack cocaine use and injecting in England using mixed-effects capture–recapture models', Journal of the Royal Statistical Society Series A: Statistics in Society,38(1), pp. 68-83. https://doi.org/10.1093/jrsssa/qnae114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
43;;PrinciplesOfGIS;;;;;;;;;;;;;0;web;Leonardo da Vinci's map of Imola, Italy in 1502;;;;2025.0;https://www.goodfreephotos.com/italy/other-italy/leonardo-da-vinci-map-of-imola-1502.jpg.php;;;;;goodfreephotos.com;21-01-2025;;;;;goodfreephotos.com (2023);goodfreephotos.com (2023) Leonardo da Vincis map of Imola, Italy in 1502. Available at: https://www.goodfreephotos.com/italy/other-italy/leonardo-da-vinci-map-of-imola-1502.jpg.php (Accessed: 21-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
44;;PrinciplesOfGIS;Pinto;;;;;J.A.;;;;;;;1;journal;Origins and Development of the Ichnographic City Plan;;;;1976.0;https://doi.org/10.2307/988969;Journal of the Society of Architectural Historians;35.0;1;35-50;;21-01-2025;;;;;Pinto (2023);Pinto, J.A. (2023) 'Origins and Development of the Ichnographic City Plan', Journal of the Society of Architectural Historians,38(1), pp. 35-50. https://doi.org/10.2307/988969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
45;;PrinciplesOfGIS;Bradford;;;;;S.;;;;;;;1;book;Cesare Borgia;1.0;Penguin;United Kingdom;2011.0;https://www.google.co.uk/books/edition/Cesare_Borgia/N8vzBJ_RGlkC?hl=en&gbpv=0&kptab=overview;;;;;;21-01-2025;;;;;Bradford (2023);Bradford, S. (2023) Cesare Borgia. nan edn. United Kingdom: Penguin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
46;;PrinciplesOfGIS;;;;;;;;;;;;;0;chap;Archaeology and GIS: A European Perspective;1.0;Routlege;London;1995.0;https://www.academia.edu/705833/Cumulative_viewshed_analysis_a_GIS_based_method_for_investigating_intervisibility_and_its_archaeological_application;;;;Unknown;;21-01-2025;;;;;Wheatley (2023);Wheatley, D. (2023) 'Cumulative Viewshed Analysis: a GIS-based method for investigating intervisibility, and its archaeological application', in Lock, G. and Stancic, Z. (ed) Archaeology and GIS: A European Perspective. nan. London: Routlege, Unknown.;;;/home/jonathan/Documents/University/Course Notes/Home/GIS/Sheffield/Principles_and_Applications_of_GIS/Case_Studies/Cumulative_viewshed_analysis_a_GIS_based.pdf;Lock;Stancic;;;G.;Z.;;;;Wheatley;;;;D.;;;;;;;;;;;Cumulative Viewshed Analysis: a GIS-based method for investigating intervisibility, and its archaeological application;1.0;2.0;;;;;;;
